fight_date,fighter_a_name,fighter_b_name,fighter_a_id,fighter_b_id,result,title_fight,weight_class,a_age,b_age,a_height_cm,b_height_cm,a_reach_cm,b_reach_cm,a_stance,b_stance,a_slpm,b_slpm,a_str_acc,b_str_acc,a_sapm,b_sapm,a_str_def,b_str_def,a_td_avg,b_td_avg,a_td_acc,b_td_acc,a_td_def,b_td_def,a_sub_avg,b_sub_avg
2010-03-21,Brandon Vera,Jon Jones,brandon-vera,jon-jones,L,False,Light Heavyweight,32,22,190.5,193.04,193.04,213.36,Orthodox,Orthodox,2.048486666666667,2.6,0.573,0.478,,,,,0.5455,2.5,0.364,0.525,,,0.0909,0.25
2010-03-21,Junior Dos Santos,Gabriel Gonzaga,junior-dos-santos,gabriel-gonzaga,W,False,Heavyweight,26,30,193.04,187.96,195.58,193.04,Orthodox,Orthodox,1.7166666666666666,0.9133333333333333,0.538,0.548,,,,,0.0,1.2,0.0,0.572,,,0.0,0.7
2010-03-21,Paul Buentello,Cheick Kongo,paul-buentello,cheick-kongo,L,False,Heavyweight,36,34,187.96,193.04,195.58,208.28,Orthodox,Orthodox,1.72,2.19394,0.466,0.604,,,,,0.2,1.1818,0.1,0.476,,,0.4,0.2727
2010-03-21,Alessio Sakara,James Irvin,alessio-sakara,james-irvin,W,False,Middleweight,28,31,182.88,187.96,182.88,190.5,Orthodox,Orthodox,1.3866666666666667,0.35,0.455,0.555,,,,,1.0,0.0,0.15,0.0,,,0.0,0.125
2010-03-21,Shannon Gugerty,Clay Guida,shannon-gugerty,clay-guida,L,False,Lightweight,28,28,177.8,170.18,180.34,177.8,Orthodox,Orthodox,0.7166666666666667,2.2066666666666666,0.333,0.394,,,,,1.25,3.4,0.663,0.382,,,1.25,0.6
2010-03-21,Eliot Marshall,Vladimir Matyushenko,eliot-marshall,vladimir-matyushenko,L,False,Light Heavyweight,29,39,187.96,182.88,195.58,187.96,Orthodox,Orthodox,1.8,1.4777799999999999,0.343,0.51,,,,,0.3333,2.5,0.333,0.48,,,0.6667,0.1667
2010-03-21,Darren Elkins,Duane Ludwig,darren-elkins,duane-ludwig,W,False,Lightweight,25,31,177.8,177.8,180.34,177.8,Orthodox,Orthodox,,0.9111133333333333,,0.577,,,,,,0.0,,0.0,,,,0.0
2010-03-21,John Howard,Daniel Roberts,john-howard,daniel-roberts,W,False,Welterweight,27,29,170.18,177.8,180.34,187.96,Orthodox,Southpaw,1.2,,0.55,,,,,,4.6667,,0.79,,,,1.0,
2010-03-21,Brendan Schaub,Chase Gormley,brendan-schaub,chase-gormley,W,False,Heavyweight,27,27,193.04,190.5,198.12,196.0,Orthodox,Orthodox,0.8,0.5333333333333333,0.25,0.34,,,,,0.0,1.0,0.0,1.0,,,0.0,1.0
2010-03-21,Mike Pierce,Julio Paulino,mike-pierce,julio-paulino,W,False,Welterweight,29,34,172.72,182.88,177.8,185.42,Orthodox,Orthodox,2.7,,0.405,,,,,,3.5,,0.52,,,,0.0,
2010-03-21,Eric Schafer,Jason Brilz,eric-schafer,jason-brilz,L,False,Light Heavyweight,32,34,190.5,180.34,190.5,180.34,Orthodox,Orthodox,1.0444466666666667,2.1111133333333334,0.588,0.46,,,,,0.8333,1.6667,0.145,0.5,,,1.3333,0.6667
